instance,lb,ub,time,sol_mmt,t_mmt,lb_root,t_root,mmt_cols,tabu_cols,ilp_cols,lb_2400s,ub_2400s
DSJC125.1,5,5,142.0,5,21.0,5,121,198,1130,6,,
DSJC125.5,17,17,18050.8,17,121.8,16,247,819,160,5,16,17
DSJC125.9,44,44,3896.9,44,120.9,43,20,317,2,0,43,44
DSJC250.1,6,8,,8,20.4,6,,378,2802,0,5,8
DSJC250.5,20,28,,28,91.5,20,,2308,439,8,15,28
DSJC250.9,71,72,,72,96.0,71,446,1262,2,0,71,72
DSJC500.1,5,12,,12,213.1,5,,1316,7181,0,4,12
DSJC500.5,16,48,,48,453.8,16,,8715,1239,0,11,48
DSJC500.9,123,127,,127,3214.8,123,13989,5015,0,0,44,127
DSJC1000.1,5,20,,20,262.1,,,2852,5542,0,5,20
DSJC1000.5,13,84,,84,9524.3,,,63035,3065,0,13,92
DSJC1000.9,51,224,,224,8894.2,,,32872,0,0,51,226
DSJR500.1,12,12,35.3,12,24.3,12,11,1556,0,0,,
DSJR500.1c,85,85,288.5,85,94.5,85,194,371,1,1,,
DSJR500.5,122,122,342.2,122,132.2,122,210,4946,0,0,,
latin_sq._10,90,102,,102,5568.2,90,683,23610,0,0,90,108
le450_5a,5,5,0.3,5,0.3,,,,,,,
le450_5b,5,5,0.2,5,0.2,,,,,,,
le450_5c,5,5,0.1,5,0.1,,,,,,,
le450_5d,5,5,0.2,5,0.2,,,,,,,
le450_15a,15,15,0.4,15,0.1,,,,,,,
le450_15b,15,15,0.2,15,0.2,,,,,,,
le450_15c,15,15,3.1,15,3.1,,,,,,,
le450_15d,15,15,3.8,15,3.8,,,,,,,
le450_25a,25,25,0.1,25,0.1,,,,,,,
le450_25b,25,25,0.1,25,0.1,,,,,,,
le450_25c,25,25,1356.6,25,1356.6,,,,,,,
le450_25d,25,25,66.6,25,66.6,,,,,,,
queen5_5,,,,5,0.2,,,,,,,
queen6_6,,,,7,3.0,7,3,167,0,0,,
queen7_7,,,,7,0.2,,,,,,,
queen8_8,9,9,3.6,9,2.6,9,1,441,0,0,,
queen8_12,12,12,0.2,12,0.2,,,,,,,
queen9_9,10,10,36.6,10,2.6,9,3,974,63,0,,
queen10_10,11,11,686.9,11,2.9,10,3,1543,83,0,,
queen11_11,11,11,1865.7,12,2.7,11,10,1861,66,0,,
queen12_12,12,13,,13,3.9,12,12,2193,48,0,12,13
queen13_13,13,14,,14,83.8,13,22,2167,47,0,13,14
queen14_14,14,15,,15,136.,14,36,3950,85,0,14,15
queen15_15,15,16,,16,106.6,15,45,2586,130,0,15,16
queen16_16,16,17,,17,124.7,16,47,2743,181,0,16,17
myciel3,,,,4,3.7,3,1,15,0,0,,
myciel4,,,,5,3.9,4,1,44,1,0,,
myciel5,,,,6,3.9,4,1,95,20,0,,
myciel6,4,7,,7,3.9,4,7,224,71,7,4,7
myciel7,5,8,,8,3.9,5,254,327,60,106,5,8
1-Insertions_4,3,5,,5,3.9,3,2,147,98,1,3,5
1-Insertions_5,3,6,,6,3.9,3,53,798,1275,52,3,6
1-Insertions_6,3,7,,7,3.8,3,,2234,11915,1061,2,7
2-Insertions_4,3,5,,5,3.9,3,22,360,987,4,3,5
2-Insertions_5,3,6,,6,3.8,3,16116,5711,18905,120,2,6
3-Insertions_3,3,4,,4,3.6,3,1,98,76,0,3,4
3-Insertions_4,3,5,,5,3.9,3,646,2064,3346,39,3,5
3-Insertions_5,2,6,,6,6.7,,,5251,5828,0,2,6
4-Insertions_3,3,4,,4,4.1,3,1,123,141,0,3,4
4-Insertions_4,3,5,,5,3.9,3,14492,5722,12612,100,2,5
1-FullIns_4,4,5,,5,3.9,4,1,98,0,0,4,5
1-FullIns_5,4,6,,6,3.9,4,3,158,30,1,4,6
2-FullIns_3,5,5,2.9,5,2.9,5,0,67,0,0,,
2-FullIns_4,5,6,,6,3.7,5,1,167,2,0,5,6
2-FullIns_5,5,7,,7,3.9,5,492,326,205,59,5,7
3-FullIns_3,6,6,2.9,6,2.9,6,0,68,0,0,,
3-FullIns_4,6,7,,7,3.6,6,1,212,1,0,6,7
3-FullIns_5,6,8,,8,6.9,6,417,393,100,147,5,8
4-FullIns_3,7,7,3.4,7,3.4,7,0,69,0,0,,
4-FullIns_4,7,8,,8,4.2,7,14,390,31,0,7,8
4-FullIns_5,7,9,,9,38.4,7,25671,217,163,295,6,9
5-FullIns_3,8,8,4.6,8,3.6,8,1,73,0,0,,
5-FullIns_4,8,9,,9,6.9,8,47,255,9,5,8,9
wap01a,40,43,,43,286.4,,,11937,1104,0,40,43
wap02a,40,42,,42,260.1,,,4400,216,0,40,42
wap03a,40,47,,47,354.0,,,7682,83,0,40,47
wap04a,40,44,,44,329.0,,,5944,10,0,40,44
wap05a,50,50,293.2,50,171.2,50,122,42752,0,0,,
wap06a,40,40,175.0,40,175.0,,,,,,,
wap07a,40,42,,42,247.2,,,7768,1271,0,40,42
wap08a,40,42,,42,264.5,,,4347,457,0,40,42
qg_order30,30,30,0.2,30,0.2,,,,,,,
qg_order40,40,40,2.9,40,2.9,,,,,,,
qg_order60,60,60,3.8,60,3.8,,,,,,,
fpsol2_i_1,65,65,10.6,65,4.6,65,6,1679,0,0,,
fpsol2_i_2,30,30,11.2,30,4.2,30,7,7829,0,0,,
fpsol2_i_3,30,30,10.0,30,4.0,30,6,11521,0,0,,
mug88_1,4,4,9.6,4,2.6,4,7,2260,29,0,,
mug88_25,4,4,10.6,4,2.6,4,8,2758,51,0,,
mug100_1,4,4,14.4,4,2.4,4,12,5408,60,0,,
mug100_25,4,4,12.0,4,3.0,4,9,2088,51,0,,
ash331GPIA,4,4,45.9,4,2.9,4,43,125,388,0,,
ash608GPIA,4,4,2814.8,4,5.8,4,2809,119,2016,0,3,4
ash958GPIA,3,4,,4,5.6,,,128,5204,0,3,4
abb313GPIA,8,9,,9,7.9,8,11517,547,3807,687,7,9
will199GPIA,7,7,80.7,7,3.7,7,77,8454,7,0,,
inithx.i.1,54,54,21.0,54,6.0,54,15,593,0,0,,
inithx.i.2,31,31,9.2,31,4.2,31,5,1358,0,0,,
inithx.i.3,31,31,9.9,31,3.9,31,6,2339,0,0,,
mulsol.i.1,49,49,0.2,49,0.2,,,,,,,
mulsol.i.2,31,31,4.7,31,3.7,31,1,8880,0,0,,
mulsol.i.3,31,31,0.2,31,0.2,,,,,,,
mulsol.i.4,31,31,0.2,31,0.2,,,,,,,
mulsol.i.5,31,31,6.0,31,4.0,31,2,1494,0,0,,
school1,14,14,0.4,14,0.4,,,,,,,
school1_nsh,14,14,17.0,14,3.0,14,14,1036,680,0,,
zeroin.i.1,49,49,3.8,49,3.8,49,0,691,0,0,,
zeroin.i.2,30,30,4.4,30,3.4,30,1,6847,0,0,,
zeroin.i.3,30,30,4.5,30,3.5,30,1,8920,0,0,,
anna,11,11,3.6,11,3.6,11,0,42,0,0,,
david,11,11,0.2,11,0.2,,,,,,,
huck,11,11,0.2,11,0.2,,,,,,,
jean,10,10,0.2,10,0.2,,,,,,,
games120,9,9,0.2,9,0.2,,,,,,,
miles250,8,8,5.0,8,4.0,8,1,10597,0,0,,
miles500,20,20,3.7,20,3.7,20,0,81,0,0,,
miles750,31,31,0.2,31,0.2,,,,,,,
miles1000,42,42,0.2,42,0.2,,,,,,,
miles1500,73,73,0.1,73,0.1,,,,,,,
